EPC,Frequency,Phase,RSSI,Timestamp
b'2023081808726A041A901339',902998,106,-89,1711535229.275
b'2023081808726A041A901339',902999,117,-90,1711535229.312
b'2023081808726A041A901339',902998,107,-89,1711535229.348
b'2023081808726A041A901339',902999,115,-89,1711535229.383
b'2023081808726A041A901339',902998,116,-89,1711535229.421
b'2023081808726A041A901339',902999,110,-90,1711535229.457
b'2023081808726A041A901339',902998,112,-90,1711535229.494
b'2023081808726A041A901339',902999,120,-89,1711535229.53
b'2023081808726A041A901339',902998,125,-90,1711535229.567
b'2023081808726A041A901339',902999,121,-89,1711535229.602
b'2023081808726A041A901339',902998,128,-90,1711535229.638
b'2023081808726A041A901339',902999,120,-90,1711535229.677
b'2023081808726A041A901339',902998,132,-90,1711535229.712
b'2023081808726A041A901339',902999,135,-90,1711535229.748
b'2023081808726A041A901339',902998,129,-91,1711535229.787
b'2023081808726A041A901339',902999,138,-89,1711535229.823
b'2023081808726A041A901339',902998,133,-90,1711535229.861
b'2023081808726A041A901339',902999,141,-90,1711535229.904
b'2023081808726A041A901339',902998,149,-89,1711535229.945
b'2023081808726A041A901339',902999,140,-91,1711535229.99
b'2023081808726A041A901339',902998,139,-90,1711535230.03
b'2023081808726A041A901339',902999,141,-90,1711535230.069
b'2023081808726A041A901339',902998,143,-90,1711535230.106
b'2023081808726A041A901339',902999,146,-90,1711535230.15
b'2023081808726A041A901339',902998,145,-91,1711535230.18
b'2023081808726A041A901339',902999,145,-89,1711535230.189
b'2023081808726A041A901339',902998,149,-91,1711535230.224
b'2023081808726A041A901339',902999,147,-90,1711535230.27
b'2023081808726A041A901339',902998,150,-90,1711535230.305
b'2023081808726A041A901339',902999,157,-91,1711535230.342
b'2023081808726A041A901339',902998,156,-91,1711535230.377
b'2023081808726A041A901339',902999,157,-90,1711535230.413
b'2023081808726A041A901339',902998,1,-90,1711535230.456
b'2023081808726A041A901339',902999,161,-89,1711535230.491
b'2023081808726A041A901339',902998,1,-89,1711535230.532
b'2023081808726A041A901339',902999,4,-90,1711535230.568
b'2023081808726A041A901374',902999,10,-89,1711535230.572
b'2023081808726A041A901339',902998,6,-90,1711535230.607
b'2023081808726A041A901374',902998,4,-91,1711535230.611
b'2023081808726A041A901374',902999,7,-90,1711535230.648
b'2023081808726A041A901339',902999,3,-89,1711535230.652
b'2023081808726A041A901374',902998,1,-92,1711535230.687
b'2023081808726A041A901339',902998,4,-92,1711535230.692
b'2023081808726A041A901374',902999,0,-89,1711535230.693
b'2023081808726A041A901339',902999,4,-90,1711535230.694
b'2023081808726A041A901339',902998,1,-90,1711535230.734
b'2023081808726A041A901374',902998,159,-91,1711535230.738
b'2023081808726A041A901339',902999,6,-90,1711535230.768
b'2023081808726A041A901374',902999,155,-90,1711535230.773
b'2023081808726A041A901339',902998,2,-91,1711535230.808
b'2023081808726A041A901374',902998,154,-90,1711535230.812
b'2023081808726A041A901374',902999,150,-90,1711535230.86
b'2023081808726A041A901339',902999,1,-91,1711535230.864
b'2023081808726A041A901339',902998,6,-90,1711535230.89
b'2023081808726A041A901374',902998,148,-90,1711535230.894
b'2023081808726A041A901374',902999,143,-89,1711535230.929
b'2023081808726A041A901339',902999,8,-90,1711535230.934
b'2023081808726A041A901339',902998,7,-90,1711535230.958
b'2023081808726A041A901374',902998,143,-90,1711535230.963
b'2023081808726A041A901339',902999,7,-90,1711535230.993
b'2023081808726A041A901374',902999,137,-89,1711535230.997
b'2023081808726A041A901339',902998,7,-91,1711535231.034
b'2023081808726A041A901374',902998,131,-91,1711535231.038
b'2023081808726A041A901374',902999,137,-90,1711535231.072
b'2023081808726A041A901339',902999,10,-90,1711535231.078
b'2023081808726A041A901339',902998,10,-90,1711535231.113
b'2023081808726A041A901374',902998,124,-89,1711535231.118
b'2023081808726A041A901374',902999,129,-89,1711535231.153
b'2023081808726A041A901339',902999,12,-89,1711535231.157
b'2023081808726A041A901374',902998,112,-89,1711535231.193
b'2023081808726A041A901339',902998,18,-91,1711535231.198
